ID	Nome Parlamentar	Partido	UF	Está na Comissão?	Quer impeachment? 	Facebook	Twitter	Instagram	Email	Telefone Gabinete	Whats App		Foto	Endereço (Anexo)	Profissões	Cargo
politico_id_planilha	title	politico_partido	politico_estado	politico_comissao	politico_impeachment	politico_facebook	politico_twitter	politico_instagram	politico_email	politico_phone	politico_whatsapp		politico_picture	politico_anexo	politico_profissao	politico_cargo
1	ABEL MESQUITA JR.	DEM	RR	não	INDECISO				dep.abelmesquitajr@camara.leg.br	3215-5248			3.jpg	4	Empresário	DF
2	ADALBERTO CAVALCANTI	PTB	PE	não	INDECISO	https://www.facebook.com/dep.adalberto.cavalcanti	https://twitter.com/dep_adalbertoc		dep.adalbertocavalcanti@camara.leg.br	3215-5402			4.jpg	4	Administrador de Empresas	DF
3	ADELMO CARNEIRO LEÃO	PT	MG	não	CONTRA	https://www.facebook.com/deputadoadelmo	https://twitter.com/deputadoadelmo		dep.adelmocarneiroleao@camara.leg.br	3215-5231			5.jpg	4	Professor(a)	DF
4	ADELSON BARRETO	PR	SE	não	INDECISO	https://twitter.com/adelson_barreto			dep.adelsonbarreto@camara.leg.br	3215-5937			6.jpg	4	Jornalista,radialista	DF
5	ADEMIR CAMILO	PTN	MG	não	INDECISO	https://www.facebook.com/DeputadoAdemirCamilo/	https://twitter.com/depademircamilo		dep.ademircamilo@camara.leg.br	3215-5804			7.jpg	4	Médico, Advogado	DF
6	ADILTON SACHETTI	PSB	MT	não	FAVOR	https://www.facebook.com/AdiltonSachetti	https://twitter.com/adiltonsachetti	https://instagram.com/adiltonsachetti	dep.adiltonsachetti@camara.leg.br	3215-5374			8.jpg	3	Arquiteto	DF
7	AELTON FREITAS	PR	MG	não	INDECISO	https://www.facebook.com/AeltonFreitasMG/	https://twitter.com/aeltonfreitasmg		dep.aeltonfreitas@camara.leg.br	3215-5204			9.jpg	4	Produtor Rural, Empresário, Engenheiro Agrônomo	DF
8	AFONSO FLORENCE	PT	BA	não	CONTRA	https://www.facebook.com/afonsoflorence13	https://twitter.com/afonso_florence	https://www.instagram.com/afonsoflorence/	dep.afonsoflorence@camara.leg.br	3215-5305			10.jpg	4	Professor de História, Servidor Público	DF
9	AFONSO HAMM	PP	RS	não	FAVOR	https://www.facebook.com/Afonso-Hamm-Jaguar%25C3%25A3o-RS-1537371759814828	https://twitter.com/depafonsohamm		dep.afonsohamm@camara.leg.br	3215-5604			11.jpg	4	Engenheiro Agrônomo	DF
10	AFONSO MOTTA	PDT	RS	não	CONTRA	https://www.facebook.com/AfonsoMottaOpina/	https://twitter.com/afonso_motta	https://instagram.com/afonso_motta/	dep.afonsomotta@camara.leg.br	3215-5711			12.jpg	4		DF
11	AGUINALDO RIBEIRO	PP	PB	sim	CONTRA	https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192/	https://twitter.com/aguinaldo1111		dep.aguinaldoribeiro@camara.leg.br	3215-5735			13.jpg	4	Administrador	DF
12	ALAN RICK	PRB	AC	não	INDECISO				dep.alanrick@camara.leg.br	3215-5650				4	Administrador de Empresas,jornalista	DF
13	ALBERTO FILHO	PMDB	MA	não	INDECISO	https://www.facebook.com/Alberto-Filho-1522-1514803892083442/	https://twitter.com/depalbertofilho		dep.albertofilho@camara.leg.br	3215-5350			15.jpg	4	Bacharel Em Direito	DF
14	ALBERTO FRAGA	DEM	DF	não	FAVOR	https://www.facebook.com/albertofraga.oficial/	https://twitter.com/alberto_fraga	https://instagram.com/joaoalbertofraga	dep.albertofraga@camara.leg.br	3215-5511			16.jpg	4	Militar	DF
15	ALCEU MOREIRA	PMDB	RS	não	FAVOR	https://www.facebook.com/depalceumoreira/	https://twitter.com/alceu_moreira		dep.alceumoreira@camara.leg.br	3215-5238			17.jpg	4	Comerciante	DF
16	ALESSANDRO MOLON	REDE	RJ	não	CONTRA	https://www.facebook.com/MolonRJ/	https://twitter.com/alessandromolon	https://instagram.com/molonrj	dep.alessandromolon@camara.leg.br	3215-5652			18.jpg	4	Advogado, Professor Universitário	DF
17	ALEX CANZIANI	PTB	PR	não	FAVOR	https://www.facebook.com/alexcanziani1414	https://twitter.com/canzianialex	https://www.instagram.com/alex_canziani/	dep.alexcanziani@camara.leg.br	3215-5842			19.jpg	4	Registrador de Imóveis	DF
18	ALEX MANENTE	PPS	SP	sim	FAVOR	https://www.facebook.com/alexmanentesbc/	https://twitter.com/alexmanentepps	https://www.instagram.com/alexmanente/	dep.alexmanente@camara.leg.br	3215-5245			20.jpg	4	Bacharel Em Direito	DF
19	ALEXANDRE BALDY	PTN	GO	não	FAVOR	https://www.facebook.com/alexandrebaldyoficial/	https://twitter.com/alexandrebaldy	https://www.instagram.com/alexandrebaldy/	dep.alexandrebaldy@camara.leg.br	3215-5441			21.jpg	4		DF
20	ALEXANDRE LEITE	DEM	SP	não	FAVOR	https://www.facebook.com/DeputadoFederalAlexandreLeite/	https://twitter.com/lexandreleite		dep.alexandreleite@camara.leg.br	3215-5841			22.jpg	4	Empresário	DF
21	ALEXANDRE SERFIOTIS	PSD	RJ	não	INDECISO	https://www.facebook.com/alexandreserfiotis/	https://twitter.com/aleserfiotis		dep.alexandreserfiotis@camara.leg.br	3215-5554			23.jpg	4	Médico(a)	DF
22	ALEXANDRE VALLE	PR	RJ	não	FAVOR	https://www.facebook.com/Valle.Alexandre/			dep.alexandrevalle@camara.leg.br	3215-5587			24.jpg	3		DF
23	ALFREDO KAEFER	PSL	PR	não	FAVOR	https://www.facebook.com/Dep.AlfredoKaefer/	https://twitter.com/alfredokaefer	https://www.instagram.com/alfredokaefer/	dep.alfredokaefer@camara.leg.br	3215-5818			25.jpg	4	Industrial	DF
24	ALFREDO NASCIMENTO	PR	AM	não	CONTRA	https://www.facebook.com/AlfredoNascimentoOficial		https://www.instagram.com/AlfredoNascimentoOficial/	dep.alfredonascimento@camara.leg.br	3215-5401			26.jpg	4		DF
